file      ,AGGREGATE_BLOCKING_SINK:AggComputeTime ,AGGREGATE_BLOCKING_SINK:AggFuncComputeTime ,AGGREGATE_BLOCKING_SINK:GetResultsTime ,AGGREGATE_BLOCKING_SINK:ResultGroupByAppendTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:AggComputeTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:GetResultsTime ,AGGREGATE_DISTINCT_BLOCKING_SINK:ResultGroupByAppendTime ,AGGREGATE_DISTINCT_STREAMING_SINK:AggComputeTime ,AGGREGATE_DISTINCT_STREAMING_SINK:GetResultsTime ,AGGREGATE_STREAMING_SINK:AggComputeTime ,AGGREGATE_STREAMING_SINK:AggFuncComputeTime ,AGGREGATE_STREAMING_SINK:GetResultsTime ,EXCHANGE_SINK:NetworkTime ,EXCHANGE_SINK:OverallTime ,EXCHANGE_SINK:SerializeChunkTime ,EXCHANGE_SINK:ShuffleChunkAppendTime ,EXCHANGE_SINK:ShuffleHashTime ,EXCHANGE_SINK:WaitTime ,HASH_JOIN_BUILD:BuildHashTableTime ,HASH_JOIN_BUILD:CopyRightTableChunkTime ,HASH_JOIN_BUILD:RuntimeFilterBuildTime ,HASH_JOIN_PROBE:OutputBuildColumnTime ,HASH_JOIN_PROBE:OutputProbeColumnTime ,HASH_JOIN_PROBE:SearchHashTableTime ,LOCAL_PARALLEL_MERGE_SOURCE:OverallStageTime ,LOCAL_SORT_SINK:BuildingTime ,LOCAL_SORT_SINK:OutputTime ,LOCAL_SORT_SINK:SortingTime ,OLAP_SCAN:IOTaskExecTime ,OLAP_SCAN:IOTaskWaitTime ,OLAP_SCAN:PrepareChunkSourceTime ,OLAP_SCAN:ScanTime ,OLAP_SCAN:SubmitTaskTime ,PROJECT:CommonSubExprComputeTime ,PROJECT:ExprComputeTime ,RESULT_SINK:AppendChunkTime
11081.sql ,                              8638.000 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 9175.000 ,                                 ,                                     ,                              ,              5837.000 ,                                   ,                                        ,                                       ,                              822.679 ,                                      ,                            466.865 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
11442.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                 77.464 ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               90.384 ,                                      ,                            217.520 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
11810.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                 23.114 ,                                      4.532 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                  20.861 ,                  17.312 ,                                 ,            38.174 ,                         ,                                 ,                  7.001 ,
11829.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  188.484 ,                                 ,                                     ,                              ,                89.898 ,                            33.813 ,                                 17.714 ,                                30.803 ,                                      ,                                      ,                             62.667 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
12187.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               98.012 ,                                      ,                            281.678 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
12560.sql ,                               323.347 ,                                           ,                               113.223 ,                                         52.651 ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               14.922 ,                                      ,                             14.597 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
12737.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                    8.299 ,                   15.354 ,                                 ,                               4.197 ,                              ,                       ,                             1.452 ,                                  2.207 ,                                 0.779 ,                                1.136 ,                                      ,                              3.890 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
12742.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                   43.519 ,                                 ,                                     ,                              ,                31.665 ,                             2.520 ,                                  1.010 ,                                 1.711 ,                                      ,                                      ,                              6.522 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
12870.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                  359.659 ,                 1238.184 ,                                 ,                                     ,                              ,               158.677 ,                                   ,                                        ,                                       ,                               99.697 ,                                      ,                            127.504 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
13004.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                106.130 ,                                     84.533 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               22.395 ,                                      ,                             44.948 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
13045.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                 98.501 ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               61.124 ,                                      ,                            268.566 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
13771.sql ,                               165.682 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   45.724 ,                  323.467 ,                                 ,                                     ,                       40.662 ,                       ,                                   ,                                        ,                                       ,                               85.497 ,                                      ,                             84.359 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
14138.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                250.655 ,                                    117.956 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                  80.779 ,                         ,                                 ,           106.705 ,                  54.745 ,                         141.691 ,                150.244 ,
14155.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                256.951 ,                                    123.820 ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                 125.911 ,                         ,                                 ,           158.046 ,                  64.962 ,                         154.919 ,                169.400 ,
14607.sql ,                                 8.120 ,                                           ,                                 2.301 ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                    8.477 ,                   12.069 ,                                 ,                               2.376 ,                              ,                       ,                                   ,                                        ,                                       ,                                0.982 ,                                      ,                              3.091 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
14703.sql ,                                77.867 ,                                    46.285 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                3.804 ,                             16.743 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
14780.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                 65.174 ,                                            ,                                        ,                          ,                  424.371 ,                                 ,                                     ,                              ,               291.547 ,                                   ,                                        ,                                       ,                              132.379 ,                                      ,                            101.630 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
15049.sql ,                               629.771 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 1494.000 ,                                 ,                                     ,                      195.015 ,                       ,                                   ,                                        ,                                       ,                              464.360 ,                                      ,                            466.648 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
15139.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                  2.232 ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                       0.451 ,                             ,                           ,                            ,                   0.746 ,                         ,                           0.568 ,             1.031 ,                   0.627 ,                                 ,                        ,
1563.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                               1206.000 ,                                            ,                                        ,                 2402.000 ,                 9663.000 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                             3336.000 ,                                      ,                           3834.000 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
15722.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                               1670.000 ,                                            ,                                        ,                          ,                 4375.000 ,                                 ,                                     ,                              ,              3973.000 ,                                   ,                                        ,                                       ,                             1218.000 ,                                      ,                            652.204 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
16393.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                             1.452 ,                                  2.237 ,                                 1.335 ,                                3.555 ,                                      ,                             23.533 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
16791.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                  6.319 ,
1722.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                   7.927 ,                   6.206 ,                                 ,            14.393 ,                  12.055 ,                                 ,                        ,
17679.sql ,                               145.200 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  241.694 ,                                 ,                              35.328 ,                              ,                54.144 ,                                   ,                                        ,                                       ,                               79.431 ,                                      ,                             84.563 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
18940.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   21.377 ,                   19.520 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               14.118 ,                                      ,                             22.415 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
19266.sql ,                               837.178 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 1847.000 ,                                 ,                                     ,                              ,              1487.000 ,                                   ,                                        ,                                       ,                              403.035 ,                                      ,                            397.991 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
21930.sql ,                                33.046 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                  118.615 ,                  222.861 ,                                 ,                                     ,                              ,               105.393 ,                                   ,                                        ,                                       ,                                      ,                                3.865 ,                             22.834 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
22909.sql ,                               215.483 ,                                           ,                                23.104 ,                                                ,                                        123.975 ,                                         58.170 ,                                                  54.756 ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               25.058 ,                                      ,                             75.456 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
2333.sql  ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 1685.000 ,                        1098.000 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                    346.886 ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,                    520.083
25109.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                  440.229 ,                  751.273 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
25150.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                   4.374 ,                   1.559 ,                           0.870 ,             6.637 ,                   3.768 ,                                 ,                        ,
25157.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 4411.000 ,                        2023.000 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                              521.804 ,                              385.768 ,                                    ,                                             ,                             ,                   364.593 ,                   1589.000 ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
25348.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                 1115.627 ,                 2725.759 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
25448.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   52.343 ,                   35.055 ,                                 ,                                     ,                              ,                       ,                             2.232 ,                                  6.853 ,                                       ,                                      ,                                      ,                              7.228 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
25916.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                 63.214 ,                                     23.327 ,                                 20.708 ,                          ,                   42.117 ,                                 ,                              14.113 ,                              ,                29.825 ,                                   ,                                        ,                                       ,                                9.430 ,                                      ,                             27.822 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
25963.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                10244.000 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
26745.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                   3.634 ,                   1.000 ,                           1.882 ,             5.306 ,                   3.197 ,                                 ,                        ,
26967.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                  116.031 ,                  286.314 ,                                 ,                                     ,                              ,                       ,                            14.057 ,                                 68.738 ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
27259.sql ,                              1617.000 ,                                   673.902 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 2180.000 ,                                 ,                             409.846 ,                      318.293 ,                       ,                                   ,                                        ,                                       ,                              677.266 ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
27481.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                   2.402 ,                   0.549 ,                           0.863 ,             3.599 ,                   2.164 ,                                 ,                        ,
27656.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                 4871.000 ,                27835.000 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
28069.sql ,                               151.300 ,                                    31.634 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  500.398 ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                               93.464 ,                                      ,                            116.048 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
28070.sql ,                               550.071 ,                                   423.252 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  801.515 ,                                 ,                                     ,                              ,               679.546 ,                                   ,                                        ,                                       ,                               68.677 ,                                      ,                             90.811 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
28161.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   48.170 ,                   81.385 ,                                 ,                                     ,                              ,                40.057 ,                             1.524 ,                                  4.980 ,                                 1.046 ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
28279.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
2855.sql  ,                               147.491 ,                                    33.926 ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                  380.057 ,                                 ,                                     ,                              ,               288.495 ,                                   ,                                        ,                                       ,                               57.344 ,                                      ,                             66.166 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
28925.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                             0.464 ,                                  1.581 ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                   1.594 ,                         ,                           1.604 ,             2.346 ,                   1.754 ,                                 ,                        ,
28957.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                15974.000 ,                                 ,                                     ,                              ,              1108.000 ,                                   ,                                        ,                                       ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
28982.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   12.040 ,                    4.631 ,                                 ,                                     ,                              ,                       ,                             1.210 ,                                  3.019 ,                                 0.574 ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
29404.sql ,                                       ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                   11.425 ,                   10.511 ,                                 ,                                     ,                        4.591 ,                       ,                             5.296 ,                                  2.115 ,                                 2.335 ,                                      ,                                      ,                                    ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
29462.sql ,                              8559.000 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                 9109.000 ,                                 ,                                     ,                              ,              4496.000 ,                                   ,                                        ,                                       ,                             1515.000 ,                                      ,                            392.728 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
32637.sql ,                               104.482 ,                                           ,                                       ,                                                ,                                                ,                                                ,                                                         ,                                                 ,                                                 ,                                        ,                                            ,                                        ,                          ,                          ,                                 ,                                     ,                              ,                       ,                            41.051 ,                                        ,                                27.984 ,                               45.537 ,                                      ,                             59.466 ,                                             ,                             ,                           ,                            ,                         ,                         ,                                 ,                   ,                         ,                                 ,                        ,
